order_id,date,time
525,2015-01-09,15.08.46
526,2015-01-09,15.10.13
AA527,2015-01-09,15.23.37
AA528,2015-01-09,15.27.21
AA529,2015-01-09,15.31.01
530,2015-01-09,15.43.01
531,2015-01-09,15.58.10
532,2015-01-09,16.14.28
533,2015-01-09,16.28.43
AA534,2015-01-09,16.43.32
535,2015-01-09,17.08.47
536,2015-01-09,17.18.50
537,2015-01-09,17.23.52
_538,2015-01-09,17.44.04
AA539,2015-01-09,17.51.34
AA540,2015-01-09,17.52.41
_541,2015-01-09,18.07.47
_542,2015-01-09,18.08.06
543,2015-01-09,18.23.59
544,2015-01-09,18.31.04
_545,2015-01-09,18.46.28
546,2015-01-09,18.47.27
547,2015-01-09,18.49.23
AA548,2015-01-09,19.06.09
AA549,2015-01-09,19.06.34
550,2015-01-09,19.12.59
AA551,2015-01-09,19.26.24
552,2015-01-09,19.31.25
553,2015-01-09,20.14.47
554,2015-01-09,20.15.51
AA555,2015-01-09,20.18.25
AA556,2015-01-09,20.23.12
557,2015-01-09,20.30.06
558,2015-01-09,20.51.10
AA559,2015-01-09,21.10.16
560,2015-01-09,21.13.48
561,2015-01-09,21.47.56
AA562,2015-01-09,22.04.05
563,2015-01-09,22.19.03
564,2015-01-09,22.32.32
AA565,2015-01-10,12.11.19
AA566,2015-01-10,12.21.19
AA567,2015-01-10,12.27.47
568,2015-01-10,12.28.53
_569,2015-01-10,12.37.10
570,2015-01-10,13.13.59
571,2015-01-10,13.14.47
572,2015-01-10,13.15.32
573,2015-01-10,13.39.33
AA574,2015-01-10,13.40.54
575,2015-01-10,13.41.04
AA576,2015-01-10,13.44.22
577,2015-01-10,13.45.00
578,2015-01-10,13.48.49
579,2015-01-10,13.51.19
AA580,2015-01-10,13.56.01
581,2015-01-10,14.13.01
582,2015-01-10,14.24.14
583,2015-01-10,14.33.19
AA584,2015-01-10,15.05.29
_585,2015-01-10,15.58.42
AA586,2015-01-10,16.09.57
_587,2015-01-10,16.32.36
588,2015-01-10,16.33.36
589,2015-01-10,17.12.39
590,2015-01-10,17.23.39
AA591,2015-01-10,17.32.54
_592,2015-01-10,17.41.55
593,2015-01-10,17.48.57
594,2015-01-10,17.50.19
595,2015-01-10,18.12.28
AA596,2015-01-10,18.24.07
597,2015-01-10,18.32.36
598,2015-01-10,18.34.14
AA599,2015-01-10,18.34.27
600,2015-01-10,18.53.52
AA601,2015-01-10,18.58.19
602,2015-01-10,19.02.27
_603,2015-01-10,19.03.11
AA604,2015-01-10,19.13.29
AA605,2015-01-10,19.23.51
_606,2015-01-10,19.27.18
607,2015-01-10,19.36.16
AA608,2015-01-10,19.36.33
_609,2015-01-10,19.39.32
610,2015-01-10,19.51.02
611,2015-01-10,19.58.10
AA612,2015-01-10,19.58.15
AA613,2015-01-10,20.10.44
_614,2015-01-10,20.12.33
615,2015-01-10,20.14.03
AA616,2015-01-10,20.20.10
617,2015-01-10,20.27.26
618,2015-01-10,20.31.14
619,2015-01-10,20.41.58
620,2015-01-10,20.45.45
AA621,2015-01-10,20.49.29
622,2015-01-10,20.57.41
623,2015-01-10,21.21.21
AA624,2015-01-10,21.22.44
AA625,2015-01-10,21.50.23
AA626,2015-01-10,21.55.12
AA627,2015-01-10,22.18.35
628,2015-01-10,22.47.17
629,2015-01-10,22.48.39
AA630,2015-01-11,11.42.08
631,2015-01-11,11.44.36
AA632,2015-01-11,11.44.52
633,2015-01-11,11.51.45
634,2015-01-11,12.14.15
AA635,2015-01-11,12.18.31
_636,2015-01-11,12.34.44
637,2015-01-11,12.44.10
AA638,2015-01-11,12.49.26
AA639,2015-01-11,13.23.21
AA640,2015-01-11,13.28.08
641,2015-01-11,13.37.46
642,2015-01-11,13.40.00
_643,2015-01-11,13.43.19
644,2015-01-11,13.52.52
645,2015-01-11,14.03.45
646,2015-01-11,14.07.26
AA647,2015-01-11,14.07.35
_648,2015-01-11,14.17.17
AA649,2015-01-11,14.29.23
650,2015-01-11,14.34.05
651,2015-01-11,14.49.35
652,2015-01-11,16.03.38
AA653,2015-01-11,16.18.23
654,2015-01-11,16.34.07
655,2015-01-11,16.43.33
656,2015-01-11,16.44.49
657,2015-01-11,16.45.47
658,2015-01-11,16.55.24
_659,2015-01-11,16.56.39
660,2015-01-11,17.09.36
661,2015-01-11,17.18.14
AA662,2015-01-11,17.21.49
AA663,2015-01-11,17.29.14
AA664,2015-01-11,17.35.14
665,2015-01-11,17.42.23
AA666,2015-01-11,17.42.25
AA667,2015-01-11,18.13.08
668,2015-01-11,18.13.12
669,2015-01-11,18.40.44
670,2015-01-11,18.46.25
AA671,2015-01-11,19.18.42
_672,2015-01-11,19.18.46
_673,2015-01-11,19.28.13
AA674,2015-01-11,19.33.05
_675,2015-01-11,19.33.19
676,2015-01-11,19.44.57
677,2015-01-11,19.51.09
_678,2015-01-11,19.52.49
679,2015-01-11,20.31.02
680,2015-01-11,21.07.30
681,2015-01-11,21.29.50
682,2015-01-12,11.38.15
AA683,2015-01-12,11.39.08
684,2015-01-12,12.01.23
_685,2015-01-12,12.11.46
686,2015-01-12,12.13.07
687,2015-01-12,12.21.09
AA688,2015-01-12,12.26.41
_689,2015-01-12,12.33.22
690,2015-01-12,12.42.10
_691,2015-01-12,12.45.53
692,2015-01-12,12.53.37
AA693,2015-01-12,13.04.24
_694,2015-01-12,13.30.47
AA695,2015-01-12,13.33.06
AA696,2015-01-12,13.49.40
AA697,2015-01-12,13.58.56
AA698,2015-01-12,14.08.16
AA699,2015-01-12,14.27.03
700,2015-01-12,14.31.13
701,2015-01-12,14.33.39
AA702,2015-01-12,14.38.35
703,2015-01-12,15.08.01
704,2015-01-12,15.28.25
AA705,2015-01-12,15.31.00
AA706,2015-01-12,15.39.04
707,2015-01-12,15.41.32
_708,2015-01-12,15.52.44
709,2015-01-12,15.53.56
AA710,2015-01-12,15.59.52
711,2015-01-12,16.21.10
712,2015-01-12,16.22.18
713,2015-01-12,16.31.56
AA714,2015-01-12,16.55.08
715,2015-01-12,17.05.33
AA716,2015-01-12,17.06.05
AA717,2015-01-12,17.24.44
AA718,2015-01-12,17.46.30
AA719,2015-01-12,17.52.27
720,2015-01-12,17.53.59
_721,2015-01-12,18.17.15
722,2015-01-12,18.20.58
723,2015-01-12,18.21.04
724,2015-01-12,18.24.47
AA725,2015-01-12,18.33.14
_726,2015-01-12,18.34.25
_727,2015-01-12,18.44.57
728,2015-01-12,18.53.17
729,2015-01-12,19.20.41
730,2015-01-12,19.22.00
731,2015-01-12,19.27.47
AA732,2015-01-12,19.30.17
AA733,2015-01-12,19.57.36
734,2015-01-12,20.00.30
735,2015-01-12,20.35.34
736,2015-01-12,21.35.14
AA737,2015-01-13,11.31.34
738,2015-01-13,12.16.47
739,2015-01-13,12.19.38
AA740,2015-01-13,12.29.51
AA741,2015-01-13,12.49.09
_742,2015-01-13,12.53.01
743,2015-01-13,13.08.32
_744,2015-01-13,13.34.48
745,2015-01-13,13.36.53
AA746,2015-01-13,13.41.13
AA747,2015-01-13,14.15.02
AA748,2015-01-13,14.27.31
749,2015-01-13,14.29.23
AA750,2015-01-13,14.48.09
751,2015-01-13,15.07.35
752,2015-01-13,15.19.25
753,2015-01-13,15.22.11
754,2015-01-13,15.47.56
AA755,2015-01-13,15.50.49
756,2015-01-13,15.55.11
757,2015-01-13,16.10.34
AA758,2015-01-13,16.14.43
AA759,2015-01-13,16.14.56
760,2015-01-13,16.27.40
761,2015-01-13,16.30.20
762,2015-01-13,16.36.36
AA763,2015-01-13,16.38.57
764,2015-01-13,16.39.39
765,2015-01-13,17.11.41
AA766,2015-01-13,17.21.45
_767,2015-01-13,17.21.48
768,2015-01-13,17.23.34
769,2015-01-13,17.43.17
770,2015-01-13,17.44.13
771,2015-01-13,17.59.32
AA772,2015-01-13,18.07.59
AA773,2015-01-13,18.18.15
774,2015-01-13,18.31.07
AA775,2015-01-13,18.42.12
776,2015-01-13,18.50.43
777,2015-01-13,19.10.20
778,2015-01-13,19.18.08
779,2015-01-13,19.19.58
780,2015-01-13,20.12.49
AA781,2015-01-13,20.31.17
AA782,2015-01-13,20.36.27
783,2015-01-13,21.17.08
784,2015-01-13,21.39.41
AA785,2015-01-14,11.28.44
786,2015-01-14,11.35.30
787,2015-01-14,11.45.30
788,2015-01-14,11.46.19
AA789,2015-01-14,11.51.37
790,2015-01-14,12.07.30
AA791,2015-01-14,12.23.54
AA792,2015-01-14,12.37.48
_793,2015-01-14,12.38.27
AA794,2015-01-14,12.39.16
AA795,2015-01-14,12.42.17
_796,2015-01-14,12.43.09
797,2015-01-14,12.50.01
798,2015-01-14,12.50.30
799,2015-01-14,12.51.29
800,2015-01-14,12.54.35
AA801,2015-01-14,13.10.53
_802,2015-01-14,13.23.47
803,2015-01-14,13.37.51
804,2015-01-14,13.42.01
805,2015-01-14,14.07.52
AA806,2015-01-14,14.12.22
807,2015-01-14,14.15.29
808,2015-01-14,14.15.32
809,2015-01-14,14.26.17
810,2015-01-14,14.48.30
AA811,2015-01-14,14.48.56
_812,2015-01-14,15.37.45
813,2015-01-14,16.09.29
AA814,2015-01-14,16.21.23
815,2015-01-14,16.38.00
816,2015-01-14,17.04.08
817,2015-01-14,17.10.38
818,2015-01-14,17.15.50
819,2015-01-14,17.21.39
AA820,2015-01-14,17.24.09
AA821,2015-01-14,17.37.26
822,2015-01-14,17.38.53
823,2015-01-14,17.42.17
AA824,2015-01-14,17.53.41
825,2015-01-14,18.06.06
AA826,2015-01-14,18.06.14
AA827,2015-01-14,18.09.48
828,2015-01-14,18.23.55
829,2015-01-14,18.27.42
_830,2015-01-14,18.38.17
AA831,2015-01-14,18.38.20
_832,2015-01-14,18.47.06
833,2015-01-14,19.07.45
834,2015-01-14,19.25.16
835,2015-01-14,19.56.01
836,2015-01-14,20.08.08
837,2015-01-14,20.12.27
838,2015-01-14,20.33.57
AA839,2015-01-14,20.40.40
_840,2015-01-14,20.46.12
AA841,2015-01-14,20.57.40
AA842,2015-01-14,21.09.39
AA843,2015-01-14,21.32.21
AA844,2015-01-14,21.36.58
845,2015-01-14,21.42.56
846,2015-01-14,22.16.24
AA847,2015-01-15,11.37.03
848,2015-01-15,11.56.46
AA849,2015-01-15,12.08.30
AA850,2015-01-15,12.15.35
851,2015-01-15,12.20.22
AA852,2015-01-15,12.33.51
_853,2015-01-15,12.36.39
854,2015-01-15,12.51.19
AA855,2015-01-15,12.56.54
AA856,2015-01-15,12.59.20
857,2015-01-15,13.01.53
AA858,2015-01-15,13.03.42
AA859,2015-01-15,13.05.13
AA860,2015-01-15,13.07.53
861,2015-01-15,13.08.44
_862,2015-01-15,13.10.45
_863,2015-01-15,13.12.29
864,2015-01-15,14.04.23
865,2015-01-15,14.10.00
866,2015-01-15,14.18.09
AA867,2015-01-15,14.19.28
_868,2015-01-15,14.27.25
869,2015-01-15,14.31.43
870,2015-01-15,14.38.31
_871,2015-01-15,14.45.22
_872,2015-01-15,14.48.37
AA873,2015-01-15,15.06.15
AA874,2015-01-15,15.20.36
875,2015-01-15,15.23.21
876,2015-01-15,15.27.03
AA877,2015-01-15,15.32.59
AA878,2015-01-15,16.05.58
879,2015-01-15,16.12.57
AA880,2015-01-15,16.19.26
